airlie_id,flght#,departure_dt,arrival_dt,dep_time,arrivl_time,booking_cd,passngr_nm,seat_no,class,fare,extras,loyalty_pts,status,gate,terminal,baggage_claim,duration_hrs,layovers,layover_locations,aircraft_type,pilot,cabin_crew,inflight_ent,meal_option,wifi,window_seat,aisle_seat,emergency_exit_row,number_of_stops,reward_program_member
6,2637,26-06-2023 00:11,30-10-2023 21:30,13:48:45,21:01:47,BQLF,Name_BANUL,SeatTWV,Economy,436.12,Meal,3649,Cancelled,GateZN,A,ClaimJLO,8.06,1,LOCWFQ,TypeRUH,Pilot_EYZH,Crew_DGAL,Yes,Non-Vegetarian,Not Available,TRUE,TRUE,FALSE,2,Yes
5,6966,27-04-2023 21:36,27-10-2023 13:13,14:05:17,09:12:24,BZIL,Name_KANHR,SeatIGS,Economy,965.8,No Extras,2598,Pending,GateMH,D,ClaimCLJ,6.68,1,LOCGGR,TypeSRC,Pilot_OKTY,Crew_VNDX,No,Vegetarian,Not Available,FALSE,FALSE,FALSE,2,No
12,5670,31-03-2023 15:08,30-12-2023 10:58,12:47:06,22:28:40,BQPB,Name_ECVFX,SeatJUH,Economy,329.94,Meal,0,Pending,GateUU,C,ClaimMPS,9.48,1,LOCLXB,TypeLSA,Pilot_UQZR,Crew_PKJB,No,Vegan,Available,FALSE,FALSE,TRUE,0,No
1,6203,04-08-2023 16:59,01-03-2023 18:34,02:46:37,10:53:22,BRPJ,Name_UEUYB,SeatUUC,Economy,165.07,Meal,0,Confirmed,GateHX,A,ClaimUTO,1.98,0,LOCOGA,TypePNZ,Pilot_OLHE,Crew_AHUN,No,Vegetarian,Not Available,FALSE,TRUE,FALSE,0,Yes
8,6134,07-03-2023 01:08,30-03-2023 04:51,13:46:28,07:10:26,BSDG,Name_CDWZA,SeatLTY,Business,491.32,Meal,0,Cancelled,GateXU,B,ClaimIKY,8.45,0,LOCWVX,TypeDLG,Pilot_DJHP,Crew_DZUM,Yes,Non-Vegetarian,Not Available,TRUE,TRUE,FALSE,2,Yes
1,2890,17-01-2023 08:11,24-10-2023 01:31,02:58:15,11:42:36,BPSW,Name_PSZWH,SeatYPS,First,533.31,Meal,0,Confirmed,GateEP,B,ClaimHCR,6.4,2,LOCBXP,TypeENY,Pilot_MQAP,Crew_SIMT,Yes,Non-Vegetarian,Available,FALSE,TRUE,FALSE,2,Yes
5,4205,23-09-2023 06:45,28-05-2023 08:46,12:03:42,07:17:26,BEEW,Name_BCNGM,SeatUHU,Business,438.34,Meal,0,Pending,GateSU,C,ClaimZGA,7.97,0,LOCEMT,TypeVRD,Pilot_PKTI,Crew_MXGP,No,Non-Vegetarian,Not Available,TRUE,TRUE,TRUE,0,No
6,9669,17-11-2023 12:17,05-03-2023 11:03,19:12:05,06:40:04,BWGY,Name_GPCZE,SeatGLP,Economy,798.54,Extra Baggage,704,Cancelled,GateHM,D,ClaimEGR,10.95,1,LOCZZN,TypeWRC,Pilot_BYQB,Crew_TGMA,Yes,Vegan,Not Available,FALSE,TRUE,FALSE,0,Yes
3,3366,14-01-2023 02:46,10-12-2023 07:52,17:37:22,22:33:03,BQAC,Name_WCXOT,SeatJCR,First,519.29,Meal,0,Cancelled,GateDT,D,ClaimRPX,8.9,1,LOCJIO,TypeWYU,Pilot_MIRC,Crew_FMOP,No,Vegetarian,Available,TRUE,TRUE,TRUE,2,Yes
15,8559,14-12-2023 12:29,28-09-2023 11:45,00:23:18,12:15:00,BPVB,Name_KWREV,SeatRKY,Economy,340.43,No Extras,0,Pending,GateOL,C,ClaimLPL,2.4,2,LOCWUW,TypeTSO,Pilot_OQNZ,Crew_PTQN,Yes,No Meal,Not Available,TRUE,TRUE,FALSE,0,Yes
5,3526,12-07-2023 21:09,25-10-2023 09:43,20:20:27,03:12:24,BYAU,Name_MANII,SeatAOM,First,512.05,No Extras,0,Cancelled,GateUZ,A,ClaimZQN,4.17,2,LOCXAY,TypePPK,Pilot_IFGC,Crew_ZTNM,No,No Meal,Not Available,FALSE,FALSE,TRUE,0,No
14,8807,24-05-2023 07:36,27-04-2023 18:57,13:28:20,03:05:02,BGJC,Name_DUYZB,SeatAOR,Economy,904.61,Meal,2303,Pending,GateYD,B,ClaimBGD,10.88,1,LOCFQE,TypeVKK,Pilot_CMCG,Crew_IACU,Yes,Vegan,Not Available,TRUE,FALSE,FALSE,0,Yes
18,1366,01-12-2023 07:26,09-01-2023 05:22,21:14:39,18:11:31,BRCG,Name_PETRB,SeatVFV,Business,868.56,Meal,0,Confirmed,GateQI,B,ClaimKEB,4.32,1,LOCFGU,TypeYHI,Pilot_MUAC,Crew_QYCQ,Yes,Vegetarian,Available,FALSE,TRUE,FALSE,1,Yes
16,7521,26-06-2023 14:16,05-06-2023 17:19,22:04:22,06:21:09,BOAX,Name_NOYJP,SeatFOF,Economy,672.46,Meal,0,Pending,GateTO,A,ClaimQCC,4.38,2,LOCXPO,TypeVCK,Pilot_JVCD,Crew_FSCS,No,No Meal,Not Available,TRUE,TRUE,FALSE,1,Yes
6,7606,11-09-2023 04:16,11-10-2023 22:28,16:44:33,08:12:21,BSEZ,Name_HZZXX,SeatXVY,First,668.34,No Extras,0,Pending,GateGI,A,ClaimYSE,8.38,0,LOCITG,TypeHVZ,Pilot_GLYB,Crew_XKNC,No,Non-Vegetarian,Available,TRUE,FALSE,TRUE,0,No
14,1012,24-01-2023 13:26,21-09-2023 23:08,12:43:37,05:02:30,BUVG,Name_UNTJM,SeatNUN,First,622.34,Extra Baggage,681,Pending,GateMI,D,ClaimGOV,2.85,2,LOCLWB,TypeTFN,Pilot_ZEBD,Crew_DMDF,No,Vegetarian,Available,TRUE,FALSE,FALSE,0,No
8,9727,04-07-2023 14:07,19-05-2023 11:40,16:59:31,02:55:56,BKAV,Name_SBZEN,SeatTQK,First,267.69,Extra Baggage,0,Pending,GateEL,A,ClaimLMN,7.64,1,LOCIFM,TypeOOS,Pilot_OVSG,Crew_OYGQ,No,Vegan,Available,FALSE,FALSE,TRUE,1,Yes
7,4239,29-01-2023 17:55,08-09-2023 03:01,03:21:53,07:55:52,BBNJ,Name_XUWUZ,SeatRKT,Economy,634.86,Meal,0,Confirmed,GateZI,B,ClaimCZK,7.91,0,LOCCRQ,TypeGMY,Pilot_FFFC,Crew_RLXJ,Yes,No Meal,Not Available,TRUE,FALSE,FALSE,1,Yes
8,3317,04-01-2023 22:52,06-04-2023 21:24,08:22:14,14:33:16,BCNE,Name_YXHAE,SeatITH,Economy,620.32,Extra Baggage,870,Pending,GateOK,A,ClaimMTS,9.03,1,LOCYCF,TypeCAQ,Pilot_EYYM,Crew_GNTC,No,Non-Vegetarian,Not Available,FALSE,FALSE,TRUE,0,No
13,5042,25-09-2023 07:27,10-07-2023 12:19,00:54:26,22:54:23,BQGA,Name_YKHQY,SeatRQY,Business,590.39,No Extras,0,Cancelled,GatePE,B,ClaimNDN,9.29,2,LOCIZQ,TypeLSJ,Pilot_YZEJ,Crew_GKSL,No,Vegan,Available,TRUE,TRUE,TRUE,2,No
6,8485,19-07-2023 22:13,19-05-2023 14:20,01:46:48,03:11:03,BXKF,Name_JNAEO,SeatZLV,Economy,814.97,Meal,163,Confirmed,GateCX,D,ClaimIRB,9.54,1,LOCVKG,TypeYYD,Pilot_HXQN,Crew_LVMR,No,Vegan,Available,TRUE,TRUE,FALSE,2,Yes
18,1375,14-12-2023 18:07,30-07-2023 15:29,04:07:22,12:23:43,BPNQ,Name_JOAXK,SeatZES,Economy,93.18,No Extras,3523,Cancelled,GateAM,D,ClaimJIT,10.82,0,LOCKZX,TypeGDB,Pilot_ANOM,Crew_GGES,Yes,Vegan,Not Available,TRUE,TRUE,TRUE,1,Yes
2,1256,26-10-2023 00:45,24-10-2023 12:32,03:05:36,08:29:20,BONG,Name_RFBBQ,SeatOYR,First,484.26,Meal,0,Pending,GateGI,C,ClaimMAU,1.08,1,LOCNOJ,TypeWPY,Pilot_PHSH,Crew_OXHC,Yes,Vegan,Not Available,TRUE,TRUE,FALSE,1,No
8,1449,11-07-2023 01:05,08-10-2023 23:25,00:58:17,04:00:10,BJSG,Name_VETNL,SeatZXD,First,100.9,Meal,154,Cancelled,GateAB,A,ClaimHPX,8.54,2,LOCNQH,TypeQPH,Pilot_GELJ,Crew_KPGG,No,Vegan,Not Available,TRUE,FALSE,FALSE,2,Yes
11,4212,28-02-2023 06:07,01-08-2023 13:57,17:03:35,16:08:39,BOXZ,Name_DIRJG,SeatNNM,Economy,806,Meal,0,Cancelled,GateEG,B,ClaimUQV,7.6,2,LOCOPW,TypeLUH,Pilot_HFLU,Crew_RBLB,Yes,No Meal,Not Available,TRUE,TRUE,TRUE,1,Yes
1,7175,18-01-2023 04:42,30-10-2023 02:08,05:55:40,04:32:31,BNOS,Name_EOZMN,SeatWHM,First,271.37,No Extras,0,Cancelled,GateTX,D,ClaimYCE,1.41,1,LOCDIT,TypeHUO,Pilot_VBFQ,Crew_MUJQ,Yes,Vegetarian,Not Available,FALSE,FALSE,TRUE,1,Yes
6,6943,17-02-2023 23:14,24-12-2023 03:55,09:39:02,09:33:08,BUZP,Name_YDFOM,SeatAZQ,Economy,397.31,Extra Baggage,4066,Cancelled,GateDJ,B,ClaimNDD,6.16,2,LOCSOU,TypeRXY,Pilot_NCHV,Crew_GAUY,Yes,Non-Vegetarian,Available,FALSE,FALSE,FALSE,2,No
16,9026,04-04-2023 04:46,20-08-2023 20:23,20:46:21,04:09:28,BBBA,Name_MRQAD,SeatIIZ,Economy,361.56,No Extras,0,Pending,GateHU,A,ClaimSAS,11.6,1,LOCJLQ,TypeYHU,Pilot_MPUM,Crew_YVBS,Yes,No Meal,Available,TRUE,TRUE,TRUE,2,No
12,8446,26-12-2023 12:37,17-11-2023 12:49,18:54:30,20:37:39,BPSD,Name_KYSMP,SeatQUK,Economy,940.22,No Extras,0,Confirmed,GateNX,B,ClaimEXU,6.08,2,LOCANZ,TypeADI,Pilot_MRAV,Crew_HNWR,Yes,Vegan,Available,FALSE,FALSE,TRUE,2,No
11,2308,27-04-2023 06:02,23-04-2023 17:19,15:45:25,11:16:36,BCKX,Name_SOLWH,SeatNPD,Economy,372.06,Extra Baggage,0,Confirmed,GateED,C,ClaimWJA,5.29,0,LOCNVO,TypeWEL,Pilot_SBGH,Crew_XNVL,No,Vegetarian,Not Available,TRUE,TRUE,FALSE,2,No
10,9339,01-07-2023 14:28,22-08-2023 00:10,13:03:38,23:00:08,BQEW,Name_VAVHE,SeatNJM,Economy,99.17,Extra Baggage,0,Pending,GateUY,B,ClaimYRJ,3.44,0,LOCLMV,TypeTCI,Pilot_JTIX,Crew_IDGJ,Yes,Non-Vegetarian,Not Available,TRUE,FALSE,TRUE,1,Yes
3,5016,18-04-2023 21:56,15-09-2023 03:23,09:59:45,16:27:37,BIAY,Name_XALDO,SeatKDB,Economy,85.7,Extra Baggage,1568,Cancelled,GateOL,A,ClaimJNK,10.92,2,LOCDCI,TypeWXA,Pilot_IDMC,Crew_SINV,Yes,Non-Vegetarian,Available,TRUE,TRUE,FALSE,1,Yes
13,4940,09-08-2023 15:08,30-12-2023 20:07,23:24:15,13:45:44,BIDP,Name_IJUMJ,SeatEPB,First,255.52,Extra Baggage,1419,Pending,GateXB,B,ClaimSRM,1.38,1,LOCFFK,TypeKGR,Pilot_FSZI,Crew_QSFC,No,Non-Vegetarian,Not Available,TRUE,TRUE,FALSE,1,Yes
3,7713,01-07-2023 03:21,01-01-2023 20:03,14:57:08,11:49:41,BOJE,Name_JNSSY,SeatCHY,Business,135.1,Extra Baggage,0,Confirmed,GateWV,A,ClaimTJY,8.82,2,LOCRAJ,TypeQXS,Pilot_NPWM,Crew_DINU,Yes,Vegan,Available,FALSE,FALSE,TRUE,2,No
15,5071,26-11-2023 04:14,31-01-2023 14:35,16:45:41,10:03:45,BPFP,Name_AVVZX,SeatYWD,Business,804.19,Extra Baggage,0,Cancelled,GateVI,B,ClaimHBK,3.74,1,LOCCYV,TypeSAE,Pilot_VQAP,Crew_CNBU,Yes,No Meal,Not Available,FALSE,FALSE,FALSE,0,No
16,9107,12-06-2023 21:16,12-07-2023 10:08,15:25:47,00:39:23,BDVU,Name_HQWJA,SeatYQR,First,690.75,Extra Baggage,0,Pending,GateIQ,A,ClaimKAM,9.27,2,LOCTTN,TypeJKC,Pilot_NLSM,Crew_ZHDD,No,Non-Vegetarian,Available,TRUE,TRUE,FALSE,2,Yes
13,6912,01-07-2023 13:02,28-12-2023 11:06,12:46:22,07:37:16,BOCS,Name_HEBSY,SeatZNE,Business,786.92,Meal,0,Confirmed,GatePR,D,ClaimQRW,10.05,0,LOCFIA,TypeGCN,Pilot_EJSK,Crew_GELR,No,No Meal,Available,TRUE,FALSE,TRUE,0,Yes
17,1442,26-06-2023 11:57,05-07-2023 13:48,23:21:17,09:11:25,BIEP,Name_BTWXK,SeatUEX,Business,555.84,Meal,0,Pending,GateSX,C,ClaimLRL,7.43,1,LOCTRU,TypeFJJ,Pilot_VWJO,Crew_ASMV,Yes,No Meal,Available,TRUE,TRUE,TRUE,2,No
3,3944,05-08-2023 22:27,24-02-2023 19:20,22:08:32,06:22:01,BCHX,Name_CZZIH,SeatJBZ,Economy,499.88,Meal,0,Confirmed,GateBA,D,ClaimMUS,1.11,0,LOCTWC,TypePKN,Pilot_QVLY,Crew_FWUL,Yes,Vegan,Available,TRUE,TRUE,FALSE,1,No
11,4936,21-02-2023 14:03,29-04-2023 22:35,05:17:55,21:43:22,BNCP,Name_FNHOZ,SeatIPU,First,393.88,No Extras,0,Pending,GateUX,A,ClaimMCL,5.68,1,LOCDSP,TypeNTX,Pilot_DQMD,Crew_VYIJ,Yes,No Meal,Available,FALSE,FALSE,FALSE,2,No
19,1398,28-11-2023 07:17,05-12-2023 10:12,05:28:46,02:28:16,BGIC,Name_XCWHV,SeatGYU,Business,822.8,No Extras,0,Pending,GateLY,D,ClaimCNP,4.28,0,LOCDPO,TypeAUJ,Pilot_TZDM,Crew_VJZF,No,Vegan,Not Available,FALSE,FALSE,FALSE,2,Yes
11,3995,01-08-2023 17:14,12-01-2023 04:13,00:25:55,03:49:45,BHLQ,Name_PFGMT,SeatDYH,First,51.68,No Extras,0,Confirmed,GateYB,D,ClaimYVG,8.29,2,LOCQUG,TypeFHD,Pilot_GLCT,Crew_KFQT,No,Vegetarian,Available,TRUE,TRUE,FALSE,2,Yes
16,7329,17-12-2023 23:52,08-05-2023 14:34,04:37:39,16:13:05,BNPS,Name_ZZISG,SeatCDY,Economy,539.74,No Extras,0,Cancelled,GateNS,D,ClaimKSH,10.52,1,LOCYEQ,TypeFCM,Pilot_YGOJ,Crew_ZYCG,No,Non-Vegetarian,Available,TRUE,FALSE,TRUE,0,No
3,3216,10-10-2023 09:15,20-06-2023 10:58,08:36:06,23:56:04,BDCM,Name_PYXGO,SeatQPW,Business,405.04,No Extras,4757,Pending,GateCB,D,ClaimONU,11.02,2,LOCKWH,TypeDCL,Pilot_DYKZ,Crew_KVWV,No,Vegan,Available,FALSE,TRUE,TRUE,1,No
6,2707,08-06-2023 12:24,20-10-2023 13:02,07:12:03,14:56:45,BIML,Name_EBBTE,SeatOZO,Business,196.39,Meal,0,Pending,GateBK,D,ClaimNZH,3.64,2,LOCBJM,TypeKYN,Pilot_WKWH,Crew_PVJW,No,Vegan,Not Available,TRUE,TRUE,FALSE,1,No
14,6766,05-07-2023 21:56,13-10-2023 04:52,19:03:45,11:00:53,BZUO,Name_LDRTK,SeatSZW,Business,726.21,Meal,4586,Pending,GateZB,A,ClaimZWU,5.84,1,LOCKUT,TypeTXB,Pilot_PFYD,Crew_OHRP,No,Non-Vegetarian,Available,TRUE,TRUE,FALSE,2,Yes
18,6677,01-10-2023 21:11,28-04-2023 06:40,22:17:59,12:04:29,BCCB,Name_UTFMZ,SeatYJK,Economy,304.76,Extra Baggage,650,Cancelled,GateQL,A,ClaimWVK,10.68,2,LOCXIS,TypeIGG,Pilot_ZOLN,Crew_LTNT,No,Non-Vegetarian,Not Available,TRUE,FALSE,TRUE,1,Yes
17,3568,03-05-2023 10:24,31-03-2023 18:55,20:18:34,08:51:43,BZFY,Name_WEYDJ,SeatMLA,First,446.81,Meal,4560,Pending,GateYL,A,ClaimHKE,6.18,0,LOCUTX,TypeJNZ,Pilot_NUHJ,Crew_QYOB,No,No Meal,Not Available,TRUE,TRUE,FALSE,2,No
